2018 rank,City,State,2018 estimate,2010 Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location : Latitude / Longitude / Coordinates,Wikipedia Link,City Summary
54,Aurora, Colorado,"374,114","325,078",+15.08%,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora),"https://en.wikipedia.org/wiki/Aurora,_Colorado","The Denver-Aurora-Lakewood, CO Metropolitan Statistical Area had an estimated population of 2,645,209 on July 1, 2012 (the 19th most populous MSA in the U.S.).[11]  However, Denver and Aurora combined make up less than half of the Denver Metro Area's population and Aurora has approximately half the population of Denver. The estimated population of the Denver-Aurora, CO Combined Statistical Area was 3,214,218 on July 1, 2012 (15th most populous CSA).[11][12]"
55,Anaheim, California,"352,005","336,265",+4.68%,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim),"https://en.wikipedia.org/wiki/Anaheim,_California","Anaheim was founded by fifty German families in 1857 and incorporated as the second city in Los Angeles County on March 18, 1876;[1]  Orange County was split off from Los Angeles County in 1889.  Anaheim remained largely an agricultural community until Disneyland opened in 1955.  This led to the construction of several hotels and motels around the area, and residential districts in Anaheim soon followed.  The city also developed into an industrial center, producing electronics, aircraft parts and canned fruit.  Anaheim is a charter city.[15]"
56,Honolulu, Hawaii,"347,397","337,256",+3.01%,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu),https://en.wikipedia.org/wiki/Honolulu,"Honolulu is the most remote city of its size in the world[8] and is the westernmost and southernmost major U.S. city. For statistical purposes, the United States Census Bureau recognizes the approximate area commonly referred to as ""City of Honolulu"" (not to be confused with the ""City and County"") as a census county division (CCD).[9] Honolulu is a major financial center of the islands and of the Pacific Ocean. The population of the Honolulu census designated place (CDP) was 359,870 as of the 2017 population estimate,[4] while the Honolulu CCD was 390,738[10] and the population of the consolidated city and county was 953,207."
57,Santa Ana, California,"332,725","324,528",+2.53%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana),"https://en.wikipedia.org/wiki/Santa_Ana,_California","Santa Ana is in Southern California, adjacent to the Santa Ana River, about 10 miles (16 km) from the coast. Founded in 1869, the city is part of the Greater Los Angeles Area, the second largest metropolitan area in the United States, with almost 18 million residents in 2010. Santa Ana is a very densely populated city, ranking fourth nationally in that regard among cities of over 300,000 residents (trailing only New York City, San Francisco, and Boston). In 2011, Forbes ranked Santa Ana the fourth-safest city of over 250,000 residents in the United States.[9]"
58,Riverside, California,"330,063","303,871",+8.62%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside),"https://en.wikipedia.org/wiki/Riverside,_California","Riverside was founded in the early 1870s. It is the birthplace of the California citrus industry and home of the Mission Inn, the largest Mission Revival Style building in the United States.[11] It is also home to the Riverside National Cemetery."
59,Corpus Christi, Texas,"326,554","305,215",+6.99%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi),"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","The city's name means Body of Christ in Latin. The name was given to the settlement and surrounding bay by Spanish explorer Alonso Álvarez de Pineda in 1519, as he discovered the lush semitropical bay on the Catholic feast day of Corpus Christi.[citation needed] The nickname of the city is ""Sparkling City by the Sea"", particularly featured in tourist literature.[6]"
60,Lexington, Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington),"https://en.wikipedia.org/wiki/Lexington,_Kentucky","Lexington ranks 10th among US cities in college education rate, with 39.5% of residents having at least a bachelor's degree.[3] It is the location of the Kentucky Horse Park, The Red Mile and Keeneland race courses, Rupp Arena, Transylvania University, the University of Kentucky, and Bluegrass Community and Technical College."
61,Stockton, California,"311,178","291,707",+6.67%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton),"https://en.wikipedia.org/wiki/Stockton,_California","Built during the California Gold Rush, Stockton's seaport serves as a gateway to the Central Valley and beyond. It provided easy access for trade and transportation to the southern gold mines. The University of the Pacific (UOP), chartered in 1851, is the oldest university in California, and has been located in Stockton since 1923. As a result of the 2008 financial crisis, Stockton was the second largest city in the United States to file for bankruptcy protection. Stockton successfully exited bankruptcy in February 2015."
62,Henderson, Nevada,"310,390","257,729",+20.43%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson),"https://en.wikipedia.org/wiki/Henderson,_Nevada","Although ""born in America's defense"", Henderson's future after World War II was uncertain. In 1947, magnesium production was no longer necessary for defense, and most of BMI's 14,000 employees moved away. Enrollment in the school system was reduced by two thirds, and well over half the townsite houses, built to house plant workers, became vacant. In 1947, the United States War Asset Administration offered Henderson for sale as war surplus property."
63,Saint Paul, Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul),"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","Founded near historic Native American settlements as a trading and transportation center, the city rose to prominence when it was named the capital of the Minnesota Territory in 1849. The Dakota name for Saint Paul is ""Imnizaska"". Though Minneapolis (Bdeota) is better-known nationally, Saint Paul contains the state government and other important institutions.[8] Regionally, the city is known for the Xcel Energy Center, home of the Minnesota Wild,[9] and for the Science Museum of Minnesota.[10][11] As a business hub of the Upper Midwest, it is the headquarters of companies such as Ecolab.[12] Saint Paul, along with its twin city, Minneapolis, is known for its high literacy rate.[13]"
64,St. Louis, Missouri,"302,838","319,294",−5.15%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis),https://en.wikipedia.org/wiki/St._Louis,"Before European settlement, the area was a regional center of Native American Mississippian culture. The city of St. Louis was founded in 1764 by French fur traders Pierre Laclède and Auguste Chouteau, and named after Louis IX of France. In 1764, following France's defeat in the Seven Years' War, the area was ceded to Spain and retroceded back to France in 1800. In 1803, the United States acquired the territory as part of the Louisiana Purchase.[14] During the 19th century, St. Louis became a major port on the Mississippi River; at the time of the 1870 Census it was the fourth-largest city in the country. It separated from St. Louis County in 1877, becoming an independent city and limiting its own political boundaries. In 1904, it hosted the Louisiana Purchase Exposition and the Summer Olympics."
65,Cincinnati, Ohio,"302,605","296,943",+1.91%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati),https://en.wikipedia.org/wiki/Cincinnati,"In the nineteenth century, Cincinnati was an American boomtown in the middle of the country. Throughout much of the 19th century, it was listed among the top 10 U.S. cities by population, surpassed only by New Orleans and the older, established settlements of the United States eastern seaboard, as well as being the sixth-biggest city for a period spanning 1840 until 1860. As Cincinnati was the first city founded after the American Revolution, as well as the first major inland city in the country, it is regarded as the first purely ""American"" city.[13][not in citation given]"
66,Pittsburgh, Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh),https://en.wikipedia.org/wiki/Pittsburgh,"Pittsburgh is located in the south west of the state, at the confluence of the Allegheny, Monongahela, and Ohio rivers.[4] Pittsburgh is known both as ""the Steel City"" for its more than 300 steel-related businesses and as the ""City of Bridges"" for its 446 bridges.[5] The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers. The city developed as a vital link of the Atlantic coast and Midwest, as the mineral-rich Allegheny Mountains made the area coveted by the French and British empires, Virginians, Whiskey Rebels, and Civil War raiders.[6]"
67,Greensboro, North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro),"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","In 2003, the previous Greensboro – Winston-Salem – High Point metropolitan statistical area (MSA) was re-defined by the U.S. Office of Management and Budget. This region was separated into the Greensboro–High Point MSA and the Winston-Salem MSA. The 2010 population for the Greensboro–High Point MSA was 723,801. The combined statistical area (CSA) of Greensboro–Winston-Salem–High Point, popularly referred to as the Piedmont Triad, had a population of 1,599,477."
68,Anchorage, Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage),"https://en.wikipedia.org/wiki/Anchorage,_Alaska","Anchorage is in the south-central portion of Alaska, at the terminus of the Cook Inlet, on a peninsula formed by the Knik Arm to the north and the Turnagain Arm to the south.[10] The city limits span 1,961.1 square miles (5,079.2 km2) which encompass the urban core, a joint military base,[11] several outlying communities and almost all of Chugach State Park.[12]"
69,Plano, Texas,"288,061","259,841",+10.86%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano),"https://en.wikipedia.org/wiki/Plano,_Texas","The city's population was estimated at 286,143 in 2017, making it the ninth most populous city in the state of Texas and the 69th most populous in the United States.[4]  The city is a hub for many corporate headquarters. Plano was also considered to be the safest city in the nation by Forbes in 2011.[5]"
70,Lincoln, Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln),"https://en.wikipedia.org/wiki/Lincoln,_Nebraska","The city was founded in 1856 as the village of Lancaster on the wild salt marshes of what was to become Lancaster County. In 1867, the village of Lancaster became Nebraska's state capital and was renamed Lincoln. The Bertram G. Goodhue-designed state capitol building was completed in 1932 and is the second tallest capitol in the United States. As the city is the seat of government for the state of Nebraska, the state and the United States government are major employers. The University of Nebraska was founded in Lincoln in 1867. The university is the largest in Nebraska with 26,079 students enrolled and is the city's third-largest employer. Other primary employers fall within the service and manufacturing industries, including a growing high-tech sector. The region makes up a part of what is known as the greater Midwest Silicon Prairie."
71,Orlando, Florida,"285,713","238,300",+19.90%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando),"https://en.wikipedia.org/wiki/Orlando,_Florida","The City of Orlando is nicknamed ""The City Beautiful,"" and its symbol is the fountain at Lake Eola. Orlando is also known as ""The Theme Park Capital of the World"" and in 2018 its tourist attractions and events drew more than 75 million visitors. The Orlando International Airport (MCO or OIA) is the thirteenth-busiest airport in the United States and the 29th-busiest in the world.[9]"
72,Irvine, California,"282,572","212,375",+33.05%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine),"https://en.wikipedia.org/wiki/Irvine,_California","A number of corporations, particularly in the technology and semiconductor sectors, have their national or international headquarters in Irvine. Irvine is also home to several higher education institutions including the University of California, Irvine (UCI), Concordia University, Irvine Valley College, the Orange County Center of the University of Southern California (USC), and campuses of California State University Fullerton (CSUF), University of La Verne, and Pepperdine University."
73,Newark, New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark),"https://en.wikipedia.org/wiki/Newark,_New_Jersey","Settled in 1666 by Puritans from New Haven Colony, Newark is one of the oldest cities in the United States. Its location at the mouth of the Passaic River (where it flows into Newark Bay) has made the city's waterfront an integral part of the Port of New York and New Jersey. Today, Port Newark–Elizabeth is the primary container shipping terminal of the busiest seaport on the American East Coast. In addition, Newark Liberty International Airport was the first municipal commercial airport in the United States, and today is one of its busiest.[28][29][30]"
74,Toledo, Ohio,"274,975","287,208",−4.26%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo),"https://en.wikipedia.org/wiki/Toledo,_Ohio","After the 1845 completion of the Miami and Erie Canal, Toledo grew quickly; it also benefited from its position on the railway line between New York City and Chicago. The first of many glass manufacturers arrived in the 1880s, eventually earning Toledo its nickname: ""The Glass City."" It has since become a city with an art community, auto assembly businesses, education, healthcare, and local sports teams."
75,Durham, North Carolina,"274,291","228,330",+20.13%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham),"https://en.wikipedia.org/wiki/Durham,_North_Carolina","It is the home of Duke University and North Carolina Central University, and is also one of the vertices of the Research Triangle area (home of the Research Triangle Park).[9]"
76,Chula Vista, California,"271,651","243,916",+11.37%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista),"https://en.wikipedia.org/wiki/Chula_Vista,_California","Located just 7.5 miles (12.1 km) from downtown San Diego and 7.5 miles (12.1 km) from the Mexican border in the South Bay region of the metropolitan area, the city is at the center of one of the richest economic and culturally diverse zones in the United States. Chula Vista is so named because of its scenic location between the San Diego Bay and coastal mountain foothills."
77,Fort Wayne, Indiana,"267,633","253,691",+5.50%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne),"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana","Fort Wayne was built in 1794 by the United States Army under the direction of American Revolutionary War general Anthony Wayne, the last in a series of forts built near the Miami village of Kekionga.[15] Named in Wayne's honor, the European-American settlement developed at the confluence of the St. Joseph, St. Marys, and Maumee rivers as a trading post for pioneers.[16] The village was platted in 1823 and underwent tremendous growth after completion of the Wabash and Erie Canal and advent of the railroad.[16] Once a booming manufacturing town located in what became known as the Rust Belt, Fort Wayne's economy in the 21st century is based upon distribution, transportation and logistics, healthcare, professional and business services, leisure and hospitality, and financial services.[17] The city is a center for the defense industry which employs thousands.[18] There are also many jobs through local healthcare providers Parkview Health and Lutheran Health Network."
78,Jersey City, New Jersey,"265,549","247,597",+7.25%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City),"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","Part of the New York metropolitan area, Jersey City is bounded on the east by the Hudson River and Upper New York Bay and on the west by the Hackensack River and Newark Bay. A port of entry, with 30.7 miles (49.4 km) of waterfront[34] and extensive rail infrastructure and connectivity, the city is an important transportation terminus and distribution and manufacturing center for the Port of New York and New Jersey. Jersey City shares significant mass transit connections with Manhattan.[35][36] Redevelopment of the Jersey City waterfront has made the city one of the largest centers of banking and finance in the United States and has led to the district being nicknamed Wall Street West.[37]"
79,St. Petersburg, Florida,"265,098","244,769",+8.31%,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg),"https://en.wikipedia.org/wiki/St._Petersburg,_Florida","St. Petersburg is the second-largest city in the Tampa Bay Area, after Tampa. Together with Clearwater, these cities comprise the Tampa–St. Petersburg–Clearwater Metropolitan Statistical Area, the second-largest in Florida with a population of around 2.8 million.[9] St. Petersburg is located on the Pinellas peninsula between Tampa Bay and the Gulf of Mexico, and is connected to mainland Florida to the north.[10]"
80,Laredo, Texas,"261,639","236,091",+10.82%,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo),"https://en.wikipedia.org/wiki/Laredo,_Texas","Because Laredo is 95.6 percent Hispanic and Latino, it is one of the least ethnically diverse cities in the United States. When economic diversity, household diversity, and social class diversity are considered, Laredo is rated the 19th least diverse city overall out of the 313 largest cities in the nation.[5]"
81,Madison, Wisconsin,"258,054","233,209",+10.65%,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison),"https://en.wikipedia.org/wiki/Madison,_Wisconsin","Located on an isthmus between Lake Mendota and Lake Monona, the city is home to the University of Wisconsin–Madison, the Wisconsin State Capitol, Henry Vilas Zoo, lakes, and an extensive network of parks and bike trails. Madison has historically been a location for political activity, protests, and demonstrations.[5][6][7]"
82,Chandler, Arizona,"257,165","236,123",+8.91%,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler),"https://en.wikipedia.org/wiki/Chandler,_Arizona","In 1891, Dr. Alexander John Chandler, the first veterinary surgeon in Arizona Territory, settled on a ranch south of Mesa, studying irrigation engineering. By 1900, he had acquired 18,000 acres (73 km2) of land, and began drawing up plans for a townsite on what was then known as the Chandler Ranch. The townsite office opened on May 17, 1912, the same year that Chandler High School was established.[5] The townsite was bounded by Galveston Street on the north, Frye Road on the south, Hartford Street on the west, and Hamilton Street on the east.[6] By 1913, a town center had become established, featuring the Hotel San Marcos, the first golf resort in the state."
83,Buffalo, New York,"256,304","261,310",−1.92%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo),"https://en.wikipedia.org/wiki/Buffalo,_New_York","The Buffalo area was inhabited before the 17th century by the Native American Iroquois tribe and later by French settlers. The city grew significantly in the 19th and 20th centuries as a result of immigration, the construction of the Erie Canal and rail transportation, and its close proximity to Lake Erie. This growth provided an abundance of fresh water and an ample trade route to the Midwestern United States while grooming its economy for the grain, steel and automobile industries that dominated the city's economy in the 20th century. Since the city's economy relied heavily on manufacturing, deindustrialization in the latter half of the 20th century led to a steady decline in population. While some manufacturing activity remains, Buffalo's economy has transitioned to service industries with a greater emphasis on healthcare, research and higher education, which emerged following the Great Recession."
84,Lubbock, Texas,"255,885","229,573",+11.46%,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock),"https://en.wikipedia.org/wiki/Lubbock,_Texas","Lubbock's nickname, ""Hub City"", derives from it being the economic, educational, and health-care hub of the multicounty region, north of the Permian Basin and south of the Texas Panhandle, commonly called the South Plains.[9] The area is the largest contiguous cotton-growing region in the world[10][11] and is heavily dependent on water from the Ogallala Aquifer for irrigation. CNNMoney.com selected Lubbock as the 12th-best place to start a small business.[12] CNN mentioned the city's traditional business atmosphere: low rent for commercial space, central location, and cooperative city government. Lubbock is home to Texas Tech University, the sixth-largest college by enrollment in the state. Lubbock High School has been recognized for three consecutive years by Newsweek as one of the top high schools in the United States, based in part on its international baccalaureate program.[13]"
85,Scottsdale, Arizona,"255,310","217,385",+17.45%,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale),"https://en.wikipedia.org/wiki/Scottsdale,_Arizona","Scottsdale, 31 miles long and 11.4 miles wide at its widest point, shares boundaries with many other municipalities and entities. On the west, Scottsdale is bordered by Phoenix, Paradise Valley and unincorporated Maricopa County land. Carefree is located along the western boundary, as well as sharing Scottsdale's northern boundary with the Tonto National Forest. To the south Scottsdale is bordered by Tempe. The southern boundary is also occupied by the Salt River Pima-Maricopa Indian Community, which extends along the eastern boundary, which also borders Fountain Hills, the McDowell Mountain Regional Park and more unincorporated Maricopa County land.[8]"
86,Reno, Nevada,"250,998","225,221",+11.45%,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno),"https://en.wikipedia.org/wiki/Reno,_Nevada","Reno, with an estimated population of 248,853 as of 2017, is the fourth-most populous city in Nevada after Las Vegas, Henderson, and North Las Vegas, all three of those cities being part of the Las Vegas metropolitan area.[3] Reno is the most populous city in the state outside of the Las Vegas metropolitan area. Reno is part of the Reno–Sparks metropolitan area which consists of all of Washoe and Storey counties.[4]"
87,Glendale, Arizona,"250,702","226,721",+10.58%,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale),"https://en.wikipedia.org/wiki/Glendale,_Arizona","In the late 1800s what is now known as Glendale, Arizona, was all desert. William John Murphy, a native of New Hartford, New York, who resided in the town of Flagstaff in what was then known as the territory of Arizona, was in charge of building a 40-mile-long (64 km) Arizona Canal from Granite Reef to New River for the Arizona Canal Company. In 1885, he completed the canal, which would bring water to the desert land.[5] Murphy was deep in debt, since he had agreed to be paid in Arizona Canal Company stock and bonds and land instead of cash.[6]"
88,Gilbert, Arizona,"248,279","208,453",+19.11%,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert),"https://en.wikipedia.org/wiki/Gilbert,_Arizona","Gilbert encompasses 76 square miles (197 km2) and has made a rapid transformation from an agriculture-based community to an economically diverse suburban center located in the southeast valley of the Greater Phoenix area. In the last three decades, Gilbert has grown at an extremely high rate, increasing in population from 5,717 in 1980 to 208,453 as of the 2010 census. The town grew at an average annual growth rate of nearly 13% during this 30-year period. In 2017, the town's population was estimated to be at 242,354. "
89,Winston–Salem, North Carolina,"246,328","229,617",+7.28%,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem),"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina","In 2012, the city was listed among the ten best places to retire in the United State by CBS MoneyWatch.[6] Winston-Salem has seen an explosion in growth and urbanization in the downtown area with hotels, entertainment, and apartments being constructed.  In 2017, the New York Times and the Wall Street Journal ranked the city second in their lists of the most livable downtowns in America."
90,North Las Vegas, Nevada,"245,949","216,961",+13.36%,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas),"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada","Located in the southwestern United States in the Mojave Desert, North Las Vegas sits north and east of Las Vegas. According to the United States Census Bureau, North Las Vegas has a total area of 101.4 square miles (262.6 km2), of which 0.04 square miles (0.1 km2), or 0.04%, is water.[3] In the Las Vegas Valley, several mountain ranges are nearby."
91,Norfolk, Virginia,"244,076","242,803",+0.52%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk),"https://en.wikipedia.org/wiki/Norfolk,_Virginia","Norfolk is located at the core of the Hampton Roads metropolitan area, named for the large natural harbor of the same name located at the mouth of Chesapeake Bay. It is one of nine cities and seven counties that constitute the Hampton Roads metro area, officially known as the Virginia Beach-Norfolk-Newport News, VA-NC MSA. The city is bordered to the west by the Elizabeth River and to the north by the Chesapeake Bay. It also shares land borders with the independent cities of Chesapeake to its south and Virginia Beach to its east. Norfolk is one of the oldest cities in Hampton Roads, and is considered to be the historic, urban, financial, and cultural center of the region."
92,Chesapeake, Virginia,"242,634","222,209",+9.19%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake),"https://en.wikipedia.org/wiki/Chesapeake,_Virginia","Chesapeake is a diverse city in which a few urban areas are located; it also has many square miles of protected farmland, forests, and wetlands, including a substantial portion of the Great Dismal Swamp National Wildlife Refuge. Extending from the rural border with North Carolina to the harbor area of Hampton Roads adjacent to the cities of Norfolk, Portsmouth, Suffolk, and Virginia Beach, Chesapeake is located on the Atlantic Intracoastal Waterway. It has miles of waterfront industrial, commercial and residential property."
93,Garland, Texas,"242,507","226,876",+6.89%,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland),"https://en.wikipedia.org/wiki/Garland,_Texas","In 2008, Garland was ranked #67 on CNN and Money magazine's list of the ""Top 100 Places to Live"".[7] As of 2014 the city was considered the 6th ""Best City for Working Parents"".[8] In 2014 Garland was ranked the 7th best city for saving money. This ranked Garland 2nd best in Texas.[9] In 2015, Garland was listed #17 overall and #5 best mid-sized city to purchase a home for ""First-Time Home Buyers"".[10] In 2015, Garland was labeled the 8th ""Best Run City in America"".[11] Move.org rated Garland as the ""8th best city in America to raise a family"".[12] In 2017 Garland was named the ""2nd best City in Texas and 17th overall for jobs"".[13] Smartasset ranked Garland as the ""3rd best City for living the American Dream in 2017"".[14] In 2018, Garland will have the ""5th highest employment growth in the country"".[15]"
94,Irving, Texas,"242,242","216,290",+12.00%,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving),"https://en.wikipedia.org/wiki/Irving,_Texas",Part of Dallas/Fort Worth International Airport lies inside the city limits of Irving.
95,Hialeah, Florida,"238,942","224,669",+6.35%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah),"https://en.wikipedia.org/wiki/Hialeah,_Florida","Hialeah also has one of the largest Spanish-speaking communities in the country. In 2016, 96.3% of residents reported speaking Spanish at home, and the language is an important part of daily life in the city."
